用户名,评论时间,评论内容,评分,赞同数,情感
黑巡一号,2023/3/18 11:59,某几场戏技巧用的好,40,0,1
叶飞Phoenix,2022/9/15 22:20,一部两个小时的电影，证明俩大冤种根本不适合在一起。,20,5,0
大香肠大水管,2022/8/4 17:18,一想到这个暑假全是这种大陆鬼电影，完了，整个暑期全完了,10,181,0
不喜欢睡觉??,2022/10/5 15:02,是同哥的故事吧，哈哈哈,0,2,0
奥特曼,2022/8/4 17:30,刚看完出来，没给我气死。年初的情人节档到今天的情人节档，青春系的爱情片全军覆没，没一部能看的，光线倒是从不缺席。,10,82,0
J.Wen,2022/11/14 23:07,故事有点个人经历映射感觉，男女主太多时候缺乏化学反应。不过值得为长沙加1星。,40,0,1
mpor2,2022/9/27 21:51,像极了爱情，那可能就是爱情～怂货不配拥有爱情咯～,30,3,1
者是也,2022/9/28 23:51,"爱就不要懦弱，不要想着不能给予她最好的，也许你就是他的世界。最后失去了才想着痛心后悔，伤害的永远只有自己！
最后麻烦导演们以后能拍点结局好的嘛，大学的恋爱现在是很美好的，生活的本质也是有爱而存在，可以成为恋爱的榜样为什么要最终扼杀，快餐式恋爱不就是因为看不到结局从而报复性产生的吗？
既感动又伤心，虽然我的经历是最终也是甜蜜的结局，但是我想为大众发声！",40,5,1
清晨的狐狸,2022/8/7 12:37,刘同代表的光线能不能不搞这种矫情片了……只能说完成的还可以。摄影很好！,20,10,0
睡觉对我很重要,2022/8/4 15:14,不勇敢就没得爱情,40,10,1
王大根,2023/1/9 17:23,流水账片撑死拍90分钟100分钟，2小时实在太长了,20,1,0
阿尔法,2022/11/11 22:12,这种感情00后应该理解不了吧～,30,0,1
大展鸿图,2022/8/4 15:31,"演员们的演技很好，剧本也相对不狗血
如果你觉得许一太怂了，但是其实他为她买过花，为她追过车，带她看日出。你有这样的“友谊”吗？
在这些基础上，后期许一的做法太过于不成熟，不自信了，不符合常理。
七夕一个人去电影院看这部片子感慨万千，就算我没为她做过这些轰轰烈烈，也该表明我的心意，不给青春留下遗憾。
遗憾吗，人最大的遗憾就是总是在遗憾过去的遗憾。电影可以不现实，平常人的生活或许并没有这么轰轰烈烈，但是现实中我们要做更勇敢的自己，青春的盘子上不要留下空白和遗憾。我想看完这部片子，我可以让自己的青春少留点遗憾
另外说一下，特别喜欢阿香，很鲜活的一个角色",50,13,1
Warren,2022/8/4 21:09,2012便利店买不到方便面 但往前十年你能在小卖部买到酒心巧克力 我还能说什么,10,51,0
春江花月夜,2022/8/4 19:19,我们的样子像极了韭菜,10,25,0
饮歌,2022/10/14 10:52,好多地方真的蛮好哭的…年轻的样子真好，爱情的样子也真好…李孝谦未来可期，《五个扑水少年》对他就印象很深，这次表演年龄跨度大，尽管可以更好，但好在他眼睛里流露出的真诚是真的很动人。,30,2,1
小姚的吉姆餐厅,2022/8/5 0:52,之前看的点映，还不错了,40,3,1
网名,2022/8/12 14:27,在来福士看了路演,30,1,1
Morning,2022/10/9 23:27,对于某部分生活还原得不错，编导生的日常以及后来的工作状态，男主角也选得很好，在各个阶段都像那个状态，女主本来也不弱，可惜那个妆面太独立，给人一看就不是这个戏里的人一样，换句话说就是你给这个角色搞特别，她在这个戏里才特别，两人的心思太多了，吃饭赌气立下约定那场戏，没想到最后一定要实现，这一点都不感人，只能说两人很拧巴，那一场戏后，友情和爱情的界限就变得模糊了，他们之间的感情再也无法在剧作中论证什么主题了，尽管如此我挺喜欢男主在车上咬着手机写信的细节。,30,2,1
在等一只??,2022/10/8 18:36,深有体会 才会入戏太深,40,1,1
十一,2022/8/4 20:32,赞摄影美术,10,7,0
小蜜蜂嗡嗡嗡,2022/8/5 9:12,友情之上，恋人未满……满好关于爱情的题材，难得制片选角敢用新人演员，小成本制作，尝试以小博大，勇气可嘉。但很可惜剧本和电影，没能写出关于暧昧里发酵的臭酸味，流水账的样式，导致后面很飒很敢的高晓楠后面人设崩掉。一星给男女主，新人表演有空间进步，女主的颜值很耐看，男主憨傻的感觉刚刚好，但后面对男主的成长弧线没做出来，整部电影像极两人的唯唯诺诺拖拖拉拉，没惊喜更没无高潮。关于青春里的各种遗憾，这种蓝颜和知己的纯友谊情感，非要定义“像极了爱情”，那大可不必哦……,10,6,0
世界的焚像.,2023/1/30 15:16,crazy,10,0,0
吸橙,2022/9/14 20:37,不是导演的导演和不是演员的演员，拍了自以为是电影的电影，无聊自嗨,10,0,0
基瑞尔,2022/9/19 16:49,我们的样子像极了爱情，我们互为彼此舔狗备胎好不痛快。向来不过多纠结所谓“三观”，倒也还觉得角色逻辑可以成立；但两小时的片长实在太拖沓了…后半段愈发离谱。李孝谦外形并不出众，但演得很好，有点当时屈楚萧在《我要我们在一起》的感觉；女主角选的是个什么鬼。,30,1,1
磕疯我了,2022/8/4 15:49,"确实是今年所有爱情档里比较不错的片子。没想到是新导演新演员的呈现。
爱情有千百万种样子，说不出口也是其中一种。",30,5,1
高压电,2022/9/18 21:52,阑尾炎在男性凝视中的妙用。,10,0,0
豆瓣路人己,2022/9/18 12:31,光线体系里，今年唯一能（接近）及格的爱情电影。,30,3,1
发光,2022/8/6 19:23,刚看完点映 其实当青春爱情片来看还是不错的 只是结尾草率了点 男主还是不够勇敢,30,1,1
玄猫,2022/12/31 2:03,"电影的样子像极了光线烂片

我也有过互相暗恋的女同学，互相试探结果拖了两年多都没表白最后做了一辈子不见面但最了解的好朋友。但我们可没有ta妈的又亲又抱开房同居啊

另外男主演员一上戏毕业表演还不如女一网红出身的，真的是上戏不是上海视传吗？

女主长得挺漂亮，但看来资源不好，希望以后少接烂片

【4.0】",20,0,0
Eddie,2022/8/4 19:26,看了点映，本来是抱着烂片的心态来看的，但是没想到导演在一些桥段上细节的设计还是有惊喜的，剧本虽然还是那么的老套和无聊，基本上看了开头就能基本猜到结尾的故事，但是至少导演有在好好说故事。最后导演的“回忆杀”还是比较讨巧的，能够相对带动观众情绪。不然说实话，看了大半天我真的不太能带入到他们之前的过往经历，甚至让我最后回忆他们的过往经历的时候，我都很难记起有什么能让人感到“可惜”和“难过”。在我看来不过就是两个不成熟又害羞的人在矫情地互相拉扯罢了。,30,8,1
吴继三,2022/8/7 19:07,你们的样子像极了矫情,10,16,0
小明,2022/8/4 15:09,女主很漂亮，虽然是新人演员但是代入感很强，剧中也有很多的感同身受。结局男主穿伴娘服有点狗血，但是前半部分的剧情还可以，下不完的雨，吃不完的火锅，满满的青春回忆。,40,6,1
海鸥马步,2022/8/4 14:57,完全是被七七带进戏里的！演得好真实！台词每一处都好典，对最后吵架戏的每一句话都感受得汗毛直立（这是可以说的么,20,0,0
ajs0609,2023/2/25 19:23,如何亲手推开自己喜欢的人……,20,0,0
太阳下的游魂,2022/9/19 19:09,土味爱情，如果电影能停在一个半小时就好了，后面的遗憾让人看着也挺遗憾的。木心的那句话说的真好：青春真像一道道新鲜美味的佳肴，虽然也有差些的，那盘子总是好的。,50,0,1
彩戏师wala,2022/10/30 22:47,有些青春成长的感觉了。可惜爱情强行做友情了,20,0,0
Fairy??,2022/10/30 23:02,虽然我们的人生总是充满遗憾，可这样的遗憾也太憋屈了吧。,20,0,0
左眼看电影,2022/9/17 23:20,前半段还行，后半段简直神经病，狗血剧情，两个人有那么多的机会，非要耍性格玩自尊，是想要自己一辈子后悔，只差一句话就可以捅破窗户纸，偏偏玩死不开口,30,0,1
Dandelion,2022/8/4 16:16,作为新人导演处女作还是有惊喜到 影片色彩镜头都刻画的蛮细腻的。女主七七未来可期啊 很真实 很舒服的感觉。剧情就普普通通 顺便有点像怦然心动。而且这不是什么友达以上恋人未满 其实就是男主作死。。所以还是要 珍惜当下 勇敢一点哦。七夕快乐 有情人终成眷属。,30,4,1
熊嘴兽?,2022/9/27 18:48,无语（＃－.－）（狗狗回寝一起看吐槽片）,10,1,0
菠萝包狂魔??,2022/8/7 1:29,好无病呻吟的批发疼痛故事。好标准的矫情光线电影。好经典的我国特产爱情??。,20,12,0
Orchid,2022/10/1 20:49,钢铁侠不能投屏，木心味的青春爱情，搭配红烧牛肉面，别扭耽误了真心。五星给垃圾桶里一堆纸，擦眼泪用的,50,1,1
kinder23,2022/10/2 17:39,光线的爱情片，都快变成有遗憾才是真爱。方向是OK的，演得也不讨厌，但就是儿戏了点。,20,0,0
丘奇之书,2022/8/4 15:14,歌很好听。剧情还行。男主怂得让人火大！！！希望所有有暗恋对象的观众看完之后都因为被这个遗憾的程度吓到而勇敢去表白然后收获爱情！,40,12,1
麻油,2022/11/2 17:22,青春电影真的就像一道新鲜可口的菜肴，虽然有一些不好的，盘子总是好的。PS：女主颜值真能打，表演也比很多科班出身要来得好，没想到是90年生人的。,30,1,1
玉桴,2022/9/15 0:37,画面是真的还不错,40,1,1
通叔,2022/11/7 19:30,就这？连备胎舔狗的狗血都拍不好的话，就真的不行了啊,10,1,0
十块小饼干,2022/9/22 22:54,文本太弱，爱情阻碍太幼稚了，重复其他影视剧里的老梗，假得要死，但影像挺美的。,20,0,0
木柵永樂町,2022/9/15 11:48,（ '光線'出品，劉同編劇，大公司+雞湯文作者背書，整體有一貫的內地青春片調性，但也確實沒有開出什麼新意… 22年七夕上院線，一個多月後就上流媒體了… 有類似的元素/橋段，《後來的我們》豆分5.8，這部開分6.1… 呃… 兩者差距不只一座??獎吧…（ 《後來》不論再怎麼說  劇本還是入圍了當年[還沒被ban]的??改編劇本，與老謀子《影》、萬瑪《撞死了一隻羊》位列同一張名單上面…,20,1,0
爱琳,2022/9/25 20:03,超过两个小时的国产爱情片,20,0,0
歹喜虎,2022/8/7 1:29,仿佛看到了圆山大饭店和那些年。看破防了，好怂，好痛，好矫情。,30,1,1
抛掉奶盖上街去,2022/9/19 20:24,看这部电影的我像极了一个傻b,10,1,0
少爷,2023/1/2 9:48,补,10,0,0
宋不吃,2022/9/24 19:25,文艺青年就是这样，通过毁灭爱的人来实现自我毁灭。,30,0,1
NortonHill,2022/12/2 1:15,编剧刘同。行吧，就是那种强凹造型、刻意创造戏剧冲突的感觉，一切故事发展为了最后达成那种“爱而不得”的结果，刻意到好笑。国产青春剧通病了,20,0,0
无双如意小郎君,2022/9/15 19:16,看的很尴尬,10,1,0
Oscar,2022/9/29 10:55,恋人未满,30,0,1
fw郑景仁,2022/9/15 20:12,终于有这种可看的爱情片了，男女主甚至我都不认识，可是他们演的真的比大多流量艺人都好。我很喜欢这类题材的电影，但是导演还是没有拍出我心目中的那种感觉，但是已经很不错了，鼓励性四星,40,1,1
华盛顿樱桃树,2022/8/7 11:50,比想象中好很多，虽然狗血什么的在所难免，但还是有些说人话的段落。最成功的应该是选择，干干净净气质舒适，是爱情片成功的关键。,30,4,1
披着人皮的鬼,2022/10/31 22:00,憋说被片名耽误但凡有点审美的坚持都叫不出这名  另外男主是什么屈楚萧平替吗,20,0,0
Mura,2022/11/13 12:27,青春是老套，但是不俗套。。。,30,0,1
GarfieLd??,2022/8/4 16:10,"青春蠻是有遺憾的?
暧昧學生時代的愛情介乎友情?
重要在於參與?挺好看的?選七夕看不錯?剛好我這場是閨蜜倆倆看的多?推荐大家去看??",30,3,1
要早睡啊minami,2022/11/11 12:27,从莫名其妙第三者开始，整个故事断崖式地地往狗血俗套的情节里下坠，这之前的互动有多精彩，后面就有多恶俗。可惜了，在前面竟然品出点当年的《失恋33天》的感觉来，果然还是不能太相信当年那批文艺青年的中二，他们不是顿悟了，只是老了。,30,0,1
Naive Response,2022/9/16 23:47,前半段真可以，后半段什么尼玛b玩意。,20,0,0
谁都不要叫我姐,2022/9/17 20:21,剧本很扎实，可能换个更有热度或者营销点的艺人会被关注到（这是整个市场问题）热度太低被隔壁《遇见你》压着打，可惜了,40,0,1
赵火火zFy,2022/9/17 16:06,其实拍的还不错，就是故事不好。感觉能写出这个故事的人，应该所有的浪漫或者感情都被多加了，然后让男主角怂到不行，能气死观众的那种怂。来表达一段缘分的可惜。。属于作者的意淫了。,30,0,1
在周六,2022/9/14 23:41,"无法评判 
最后还好没有在一起",30,1,1
凝羽飞,2022/9/15 19:19,又一部你要结婚了，新郎（新娘）不是你，上一部还是同天上映的《遇见你》，一个七夕送给观众2部有情人不得好死是吧。是不是因为《那些年我们一起追过的女孩》成功了，所以模块就都是这种了？男主也太屌丝了（剪了头发之后还行），女主还行，但是好几个造型都显老。关于婚庆这一段就有点强行搞笑凑时长的感觉，同学聚会那段还蛮搞笑的。下雨天爆发戏这么考验演技，结果没演好，差点意思。说真的，后半段的叙事远远强于前面，122分钟真的有点太长了，导演想说的太多，可其实真的不需要那么啰嗦。2个人的恋人以上的感情还是能感受到了，怂货不配拥有爱情。,20,0,0
oak,2022/8/7 18:13,看完了，五星支持宝贝参与宣发的第1?部电影，结尾的独白配合周深唱的主题曲代入感满满，刘同有点东西的，男女主好看演技好，一百二十分钟有点长，要是剪成90分钟少点青春伤痛会更好，不管怎么说个人感觉都是目前为止国内制作水平最高的青春爱情片啦,50,2,1
光影一路同行,2022/10/3 22:25,算是有几分真挚。男女主演员比较贴生活。但这样的结局大家不能接受，释然不了。,30,0,1
奔跑的尘埃,2022/8/6 22:59,品质尚可，能看，第一次参加点映式，看见了主创，值了,30,1,1
雅痞鲜师,2022/9/25 23:03,女网红颜值在线，演技在线，两位不知名的演员吊打了太多知名导演知名演员，他们用羞涩诠释了最真的青春！这是一部被名字耽误的青春电影，最虐心的情节，最催泪的告白，最心痛的回忆！看完《遇见你》，失望透顶；看到这部《我们》，希望燃起！,50,3,1
周宇勋,2022/9/15 11:55,原来国产「青春疼痛物语」也并非都是烂片，至少这部还是能看的。李孝谦虽然长得和演的都不怎么样，但资源蛮好。至少远强于档期院线上的其他几部狗血电影。片名是个伪命题，因为这本来就是爱情。彼此喜欢虽从未说出口，但眼神与情感交流却早已能让对方心知肚明。如果说这样的关系还只是朋友，那么诚然是刻意「装傻」而为之。观影过程中一直觉得这样彼此依存并深爱的两个人不在一起会很难收场，但导演却用一场婚礼告诉了我们什么是「现实」。理想再美，也终究是理想罢了。,30,2,1
青丝微绾,2023/1/10 17:57,"七七真美！
如果最后能像最开始，你狂奔而过，我勇敢的追。结局应该会更圆满一些。",30,0,1
骑呢星人,2022/8/6 12:36,2022/08/04 看出《那些年》等一众片子的影子，很自然的将男主对标张士豪、柯景腾来比较，而且男主还是科班出生感觉演技还不如网红女主有变化。青春片最好要让有共鸣，但是编剧太跳脱常人思维，把男主塑造成那种我真的就蹭蹭不进去，一手好牌都能烂的烂人设：如果说雨后情趣酒店大家朦胧青涩，但是后来追火车后不表白已经够难收场了吧，开房会缺280吗2012年都可以用蚂蚁花呗去会所找小姐姐啦，同居门口有双男鞋就内心BGM“我是不是该安静的走开”，医院前男友让你滚你就真的滚，最后还为了当初承诺女装打扰人家婚礼，感动谁呢？,20,4,0
是阿蘭呀,2022/10/6 12:13,一首《嘉宾》送给许一。,30,1,1
谁都不要叫我姐,2022/9/17 20:21,剧本很扎实，可能换个更有热度或者营销点的艺人会被关注到（这是整个市场问题）热度太低被隔壁《遇见你》压着打，可惜了,40,0,1
小孙字典没输字,2022/10/5 10:57,看到现在发觉近年来的国产爱情电影在瓣里分数这么低啊？？？看到男主角许一、编剧与结局被各种吐槽。明明这就是取材于现实生活改编的好吗？作为导演的第一部电影却还是很有纪实味道的，只是相信爱情的人终究是寥寥无几，这都是六便士教给我们的勒紧一切才能得到月亮，而这部电影里许一的爱情多了份凄美的味道，这要怪谁呢？？？导演下一部咱可以继续拍！能拍摄真实的艺术家都是值得尊重的，只是下回结局稍微好点成不，哪怕给观众猜个谜留点神秘感也可。??,40,4,1
三放,2022/9/17 22:19,2.5作吧就，爱的人作没了,30,0,1
晓思丽英,2022/9/14 17:26,599,40,0,1
端木胥,2023/1/9 0:34,作,30,0,1
长岛冰茶,2022/10/21 18:31,"出乎意料的好看呀！有被甜到，有被虐到。
漆美芳真的好美！
竟然演技都没拉胯，甚至比一些流量小生拍出来的文娱爱情片更好。

真的好虐啊。
但这才是爱情吧。希望给对方最好的，一丁点误会就会被放大。但是男生真的有点怂了。哎。青春就是遗憾。

这个剧告诉我们，喜欢什么就要勇敢去追求，即使失败也不留遗憾。

我们总是想着等自己更好一点再表白，等自己能够配得上他再表白。可是，等着等着，已经错过了无数次可以表白的机会。甚至连朋友都没得做，连出席婚礼的资格都没有了。",40,0,1
无为而治,2022/10/4 21:29,(*′I`*)新鲜的长相，我也迷惑了很多年，男女之间，到底有没有纯粹的友谊。为什么，为什么，男生这么怂，女生都走了多少次九十九步，为什么你就要顾着自己的各种担忧自尊，就是不踏出去最后一步。看得生气，但是有这样的好朋友，或者一辈子才走得下去。如果不曾得到过，或者会更加珍惜。,20,0,0
星河.,2022/8/5 9:56,实话说 我一点都不觉得 男主 可怜。不过这确实是很多 青年时代自卑感极强的人会干的事情，其实这男主考虑的永远是自己，既然觉得自己配不上女孩子，又为什么要招惹人家，等人家喜欢上他，他又以自己配不上女生拒绝对方，既想继续暧昧又不想负责任，但之后又接受不了女生和别的人在一起，这不就是自私利己吗,20,9,0
糊乱的张贴,2023/5/5 22:09,现在还能看到这种男主安慰自己的片子真行，男主真是又丑演技又差，漆美芳是真的挺好看，但侧脸有些奇怪，然后演戏和平常说话腔调不太一样，更加端着，下次努力吧，这剧情真的也是很绝。,20,0,0
开膛手贝塔,2022/9/21 14:43,虽然片名一如既往的刘同式矫情，虽然剧情毫无疑问的be了，但选角是合适的，竟然是可以看的…,30,0,1
你挡我晒太阳了,2022/8/7 16:00,多一星给周深 声音简直不要太贴片 电影一共三首半ost真的都很高质 让周深自己包揽全部ost是个非常正确的决定！本来对电影没啥期待 是那种要是不是周深唱&参演我是不会去看的那种 虽然剧情挺老套但故事也挺真诚且现实 女主挺好看的,40,6,1
Hanon,2022/8/4 15:19,给同叔和七七打call来看看结果竟然超过了我的预期（可能我压根就没预期）…虽然剧情还是挺扯的但在国产青春片里我觉得还算是有可圈可点之处了，以及七七真的太漂亮了！！我一万次感叹，第一次见网红直接上大荧幕还这么能打的！！演技也超出我的预想了挺自然的，爱住了,40,5,1
虎崽Daddy,2022/8/5 15:07,剧本完全不行，不是女主的颜值完全看不下去,30,0,1
云雀不可留,2022/8/5 16:49,0730看的,30,0,1
月色莫名,2022/10/6 3:13,有一点点星光之城那感觉，就是男主太怂了，女生都没说啥，你怕啥，上楼啊，喜欢不喜欢，是不是一路人，真的才是硬伤！不是钱，钱有时候只是喜欢中的一个小条件，或者不一定是，两个不对味的人，再有钱，也很难喜欢的，所以爱情，呵呵，到底是什么，看对眼都挺难的……七七终于有一部公映的打女主电影了，也是好多年没看一部女主颜值在线的爱情片了。,30,0,1
雅痞鲜师,2022/9/25 23:03,女网红颜值在线，演技在线，两位不知名的演员吊打了太多知名导演知名演员，他们用羞涩诠释了最真的青春！这是一部被名字耽误的青春电影，最虐心的情节，最催泪的告白，最心痛的回忆！看完《遇见你》，失望透顶；看到这部《我们》，希望燃起！,50,3,1
Vince,2022/9/19 23:00,人生的遗憾皆来自墨迹，快点表白吧，傻小子，时间不等人！,30,1,1
莫凌,2022/11/28 23:43,"看了点映，见到主演，片子本身不是我的菜，但七七真美啊。男主意外的耐看。剧情比起别的，没那么烂俗。
值得一提的是，男主在长沙火车站劝女主留下的场景，是旁边的德克士，我想起我曾经也和一个男孩在同样的位置聊天。现在他不知道在何方。",40,3,1
无双如意小郎君,2022/9/15 19:16,看的很尴尬,10,1,0
妖精的妄想,2022/9/25 21:24,光线的青春片剧情都大同小异，这么多年了还乐此不疲,20,0,0
然燃bjy,2023/4/15 1:54,这么矫情的剧情，看解说吧,30,0,1
瓦晴,2022/9/30 21:30,反射阳光那一吻或许是国产爱情片年度最佳场景之一，我一直觉得青春片看的是自己的心境，对上了就是好看的。,30,0,1
磕学家??,2023/1/27 10:47,磨磨唧唧的感情，欣赏不来，他俩为啥不学学男二女二??,20,0,0
水木莲熙,2022/10/6 21:34,剧情无脑 逻辑奇怪 冲着深深多加一颗星,30,0,1
DKyogre,2022/8/4 17:19,结尾真的为虐而虐……张文雯真漂亮,20,5,0
影像作者,2022/8/4 21:31,敬前任lol,40,1,1
大宝没在学习,2023/1/30 20:28,crazy，你俩暧昧三年又三年，都同居了还没能确认关系，拍不出来电影不拍也行，没必要在这玩尬的吧。,20,1,0
Zoe,2022/9/18 22:41,如果不是因为怂，这本就是爱情,30,1,1
cicimelon,2022/8/4 21:46,女主堪称绿茶婊的代表，借着争吵将帮扶自己走出低谷的男主从生活中删除，几个月后便与MV更高的异性结婚，甚至还给男主发请柬？这是出于什么动机呢？炫耀，叙旧，还是就图个份子钱？跟去年的《你的婚礼》一样，为自始至终只喜欢女主一人的男主感到不值！,30,4,1
电影里的Red,2022/9/15 21:48,看到了熟悉的特冶楼，激动翻相册却发现一张照片都没来得及留下??,30,0,1
下雪的晴天,2022/10/3 13:40,男女主没长的嘴都分给里面的这些配角了吧，丽丽的一句“爱就爱恨就恨，磨磨唧唧的”吐槽到精髓了。不过，也侧面说明了两个人不合适吧，有时候错过真的不能说是一件坏的事情，毕竟连第一关都过不了，怎么过后面更多关。,20,0,0
blablabla??,2022/8/6 13:18,"支持深深去看的，结果宝子怎么说呢…你们自己去看吧…

看完就觉得很多时候我们都需要勇气…",30,1,1
漠,2022/8/4 19:18,"难得的一部清爽不油腻也不会令人忍不住脚趾抠地的青春片。回忆滤镜大概就是有如此奇效，能把一个在无数个(师)大学生身上发生过的故事变成一段美好的青春童话，甚至过于美好了。Not bad, unexpectedly.",50,4,1
不羁的風,2022/11/19 20:57,什么鬼扯剧情，女主好好的未来被男主搅和了，男主事业有起色了，把女主嚯嚯成底层了，女主血亏。,20,1,0
胡天柒月,2022/8/6 21:29,梓骏导演拍得还是很清新的，长沙也挺好看。,30,0,1
自然醒,2022/9/14 22:13,不是 he 好评,30,0,1
鱼骨,2022/9/16 12:41,周涛说的不错，男主真的傻叉。这片子里女生形象远高于男生，男的要么智商低要么猥琐要么炫富要么劈腿，没一个正常的。李孝谦毫无主角脸，不如演个配角可能比较出彩。校园部分戏还行，女主颜值可以。,20,0,0
momo,2022/11/24 18:56,唉中段开始就变得很烂俗，全是古早的都市言情剧情，但还是有些被戳中，想起了以前的回忆。另外女主有点像高圆圆？戏中状态还可以,40,0,1
我想吃糖糖呐,2022/8/5 12:46,七夕节看两部爱情片，be率100%，我看你们还是嫌结婚率太高了……,40,6,1
Zack Zhao,2022/9/15 7:48,前半段马马虎虎还能看看，后面啥玩意啊瞎编，墨迹，拧巴,20,0,0
熊掌与安又琪,2022/8/8 15:42,一个“娶”字，耽误了多少真爱,20,0,0
皆可,2022/11/13 21:39,尬的我抠出来三室一厅，这玩意怎么能比我要我们在一起高零点一分啊我天，这指定是导演梦中意淫出来的玩意吧，两个人这就产生感情了？这就分手了？住在一起这么久了感情都这么脆弱吗？！跟这种男的在一起真tm累啊，哦对了看这片子完全是因为这导演和我一个舍友名字一样…,20,0,0
大浩Colen,2022/8/4 14:46,测速仪算命，声控灯遮羞，青春是爱情的草稿纸。撸串嗦粉，唱K抓嫖，浪漫是青春的缩略图。,30,3,1
Lucifer,2022/8/11 18:20,以为是烂片，结果居然还行。本来为着深深的歌去的，结果歌出现得好少??,30,2,1
悟饭婆婆,2022/10/23 22:19,青春电影经历了车祸、出轨、打胎的大起大落之后，退回到了异地、误会、拧巴这些关于爱情本身的议题，但无论怎么小心谨慎，这种类型片似乎都不再有什么起色。也许像我这等年轻人是真的搞不动如何恋爱了，博士毕业都无法留校，哪里顾得上共情女主因为误当第三者而主动辞去校职。,30,0,1
郭小鸟??,2022/10/19 14:19,谁能拒绝一个，给生活带来阳光的人啊。哪怕只是曾经，也足够了。男主像极了我的某位故人，所以看电影的倍速也调慢了一点。,30,0,1
??大灵铲屎官,2022/8/10 22:09,烂片！,10,2,0
鹿熊,2022/8/4 23:31,演员表现都很好，故事情节也有意思，很真实，所以会感到有一些平淡了,40,1,1
墨,2022/9/26 23:14,比预料中的要好一些，不管你相信不相信男生的怂，但是现实生活中在上学的时候真的有这种男生，莫名的有几个点有被戳到，关注了导演拍的另一部，有时间会去看看,30,1,1
李元度,2022/10/7 11:32,导演把自己感动得热泪盈眶，路人着实尴尬五分钟关闭，可怕。韩剧至少还有音乐和浪漫的镜头，情节夸张点也不违和。,10,3,0
安文生,2022/8/4 18:14,有这么傻的男生吗？互有好感，同居一室那么久了，还不推进关系？,30,2,1
瓜瓜,2022/10/3 1:53,饭桶男主 十分钟结局了 忍不住先来骂一句,50,3,1
山姆文森特,2022/8/5 11:20,"胆小的许一，把爱情当做友情。
遇到过人生太多起落的高晓楠，则经历了、也看透了太多爱情。
两人相爱，却因为一方不够勇敢，把另一方当作朋友，他们的样子像极了爱情，但又永远不是爱情。
青葱岁月，每个人都用一个华丽的盘子盛着各式各样的菜肴。许一装着的是那一份“傻”、幼稚，而又执着，以及遗憾；高晓楠装着的是成熟、伤痛，以及对安全感的渴望。两人终没能走到一起，却也以另外一种方式留在了回忆中，在那个回忆里，许一第一次买整捧花给女生。
全片整体叙事真实自然，一些镜头和小细节的设计还是挺有想法的。",40,3,1
玉娇龙,2022/9/19 0:38,感觉这是一部很多年后回头看会觉得是遗珠的片子，看得出狗哥努力想做多一些个人色彩的东西,30,0,1
不徐,2022/12/8 16:57,有李孝谦滤镜也尬得看不完啊啊,20,0,0
多冰美式,2022/9/14 21:31,我爱你妈卖麻花儿情…,20,1,0
24岁，是影评人,2023/1/20 23:44,"前半段和后半段是一个人导的吗（恼）

看前一个小时：认真笔记如下——
剪辑能突出喜剧感（也擅长领先观众），本身喜剧感也超强
戏剧设计也擅长领先观众，如，男主想半天居然真的发送了问候短信而不是套路地隐忍删掉，就在突然发送的一刹那，女主突然意外地赶回来
剪辑利索不多余【发现赞助人是许一，马上切走】
解构男性自尊的台词设计
内嵌“反家暴”广告，“做更勇敢的自己”台词没拉胯
40min第一次破功，开始爱情片“固定节目”，略生硬
但50min上演固定节目后马上又解构了一下【女孩问男孩喜欢什么样的女孩】
55min开始有点矫情的饭桌戏，但收尾还设计了个节奏——先前景纱布，后突然被压很大声
危机事件骑车摔倒罕见得用了长镜头

——这绝不是一部简单平庸的国产爱情片！
看后一个小时：我感觉，全都回来了（悲）",0,0,0
鸟倦飞,2022/8/6 23:39,如果能勇敢一点 如果能放下自己的自尊一点，如果能够不错过那些时机,30,0,1
罗罗车仔面,2022/8/4 15:34,超出我预期的青春爱情电影，特别是前半部分，很有意思的拉扯感。两位演员的演技都挺自然的，化学反应也很好。让我对国内的爱情片又多了一点改观吧。,40,6,1
倾蕙宁,2022/12/14 16:55,像女生说的：男生太怂了。俩人都住一起了，却连手都没牵过呢！唉。既然何俊都在医院里能照顾好女主了，还让男主从北京飞回来干什么呢！？林俊毅比男主好看。女主长得跟沈月好像啊。,0,0,0
有时间就看电影,2022/10/22 0:37,妹子还行可是没什么意思的。,20,0,0
?蒙奇D阿辉?,2023/3/28 22:32,男女之间没有纯友谊,50,0,1
老道,2022/11/6 14:06,爱很简单，人会长大，世界会变复杂,40,0,1
我住在26楼,2022/12/8 15:51,"2009年的长沙还没有7-11。
不过师大的堕落街还在。
男主的经历让我想到之前在湖南经视的刘同出现在娱乐新闻中。",40,0,1
kinkin,2022/9/18 2:02,男女主都像日本的演员，男主笑起来真的冒傻气，女主像长泽雅美，演员虽然没听过，也只是冲着简介就看了，没想到竟然让我在半夜一下子看完了。真的很让人唏嘘，每次都差那么一点就会变成另一种关系了，可总是阴差阳错，最后有点致敬《那些年》，总之还是挺真实的，那些不计较后果得失的全心全意对别人好真的在年轻时有过，感同身受,50,0,1
小有?,2022/9/18 23:15,故事细节丰富，表演自然，只是剧情有点虐心，男主角太怂了。,40,0,1
